coin,fundingRate,premium,time
XLM,-1.8545e-06,-0.0005148357,2026-02-13 17:00:00.023
XLM,-8.3961e-06,-0.000567169,2026-02-13 18:00:00.120
XLM,3.955e-07,-0.0004968357,2026-02-13 19:00:00.063
XLM,-7.2257e-06,-0.0005578056,2026-02-13 20:00:00.048
XLM,-1.06437e-05,-0.00058515,2026-02-13 21:00:00.056
XLM,-4.0194e-06,-0.0005321552,2026-02-13 22:00:00.018
XLM,5.6207e-06,-0.0004550342,2026-02-13 23:00:00.072
XLM,6.641e-07,-0.000494687,2026-02-14 00:00:00.041
XLM,-3.3344e-06,-0.000526675,2026-02-14 01:00:00.085
XLM,-2.6505e-06,-0.0005212042,2026-02-14 02:00:00.103
XLM,6.1857e-06,-0.0004505147,2026-02-14 03:00:00.007
XLM,-1.79883e-05,-0.0006439062,2026-02-14 04:00:00.098
